year,datebegin,City,Country,Station area,Station type,AQI
2562,29/8/2562,Sofia,Bulgaria,Urban,Background,10.9
2562,30/8/2562,Sofia,Bulgaria,Urban,Background,10.3
2562,31/8/2562,Sofia,Bulgaria,Urban,Background,12.7
2562,1/9/2562,Sofia,Bulgaria,Urban,Background,9.8
2562,2/9/2562,Sofia,Bulgaria,Urban,Background,9
2562,3/9/2562,Sofia,Bulgaria,Urban,Background,10.1
2562,4/9/2562,Sofia,Bulgaria,Urban,Background,15.6
2562,5/9/2562,Sofia,Bulgaria,Urban,Background,15.4
2562,6/9/2562,Sofia,Bulgaria,Urban,Background,16.4
2562,7/9/2562,Sofia,Bulgaria,Urban,Background,11.5
2562,8/9/2562,Sofia,Bulgaria,Urban,Background,10.4
2562,9/9/2562,Sofia,Bulgaria,Urban,Background,10.4
2562,10/9/2562,Sofia,Bulgaria,Urban,Background,11.4
2562,11/9/2562,Sofia,Bulgaria,Urban,Background,11.1
2562,12/9/2562,Sofia,Bulgaria,Urban,Background,9.1
2562,13/9/2562,Sofia,Bulgaria,Urban,Background,11.6
2562,14/9/2562,Sofia,Bulgaria,Urban,Background,15.6
2562,15/9/2562,Sofia,Bulgaria,Urban,Background,12.4
2562,16/9/2562,Sofia,Bulgaria,Urban,Background,15.8
2562,17/9/2562,Sofia,Bulgaria,Urban,Background,11.9
2562,18/9/2562,Sofia,Bulgaria,Urban,Background,12.6
2562,21/9/2562,Sofia,Bulgaria,Urban,Background,6.9
2562,22/9/2562,Sofia,Bulgaria,Urban,Background,11.5
2562,23/9/2562,Sofia,Bulgaria,Urban,Background,14.8
2562,24/9/2562,Sofia,Bulgaria,Urban,Background,14.3
2562,25/9/2562,Sofia,Bulgaria,Urban,Background,15.1
2562,26/9/2562,Sofia,Bulgaria,Urban,Background,12.4
2562,27/9/2562,Sofia,Bulgaria,Urban,Background,5.3
2562,28/9/2562,Sofia,Bulgaria,Urban,Background,8.6
2562,29/9/2562,Sofia,Bulgaria,Urban,Background,14.7
2562,30/9/2562,Sofia,Bulgaria,Urban,Background,13.7
2562,1/10/2562,Sofia,Bulgaria,Urban,Background,11.3
2562,2/10/2562,Sofia,Bulgaria,Urban,Background,13.3
2562,3/10/2562,Sofia,Bulgaria,Urban,Background,15.9
2562,4/10/2562,Sofia,Bulgaria,Urban,Background,6.8
2562,5/10/2562,Sofia,Bulgaria,Urban,Background,7.2
2562,6/10/2562,Sofia,Bulgaria,Urban,Background,5.9
2562,7/10/2562,Sofia,Bulgaria,Urban,Background,6
2562,8/10/2562,Sofia,Bulgaria,Urban,Background,11.2
